Time,Cost,Item,Tentative Source
Night,~ $18,Assorted bags of snacks,Walmart
Midnight Snack - Hide in Fridge,$19.45,(x5) Breyers Vanilla ice cream 1.5qt ($3.89),Target ($9/3 tubs)
All Times,$9.69,100 Clear Cups,Walmart
,Under $10,Flowers,
Afternoon,~ $8,Cuties,Walmart
Afternoon,~ $8,Apples,Walmart
Midnight Snack - Hide in Fridge,$25.38,(x2) 24 12 fl oz IBC Root Beer,Instacart - BJs
,$2,Bottle of Mustard,Walmart
All Times,$16.99,115 Dinner Plates,Walmart
Before kickoff,$34Actual: $48,130 regular pretzelshttp://phillypretzelfactory.com/locations/11th-street CALL IN THE MORNING,Phila Pretzel Factory pickupSouth 11th READY @ noon
Throughout,$13.58,8 2L Sprite (2x 4-pack),
Sat Afternoon,$105.20 $116.86(after tax)(pending),"10 Large Pizzas (Dinner) -Enter promo code P1BOGO - $17.591 buffalo chicken, default options1 pepperoni pizza (choose from topping) Add to cart, then visithttps://www.papajohns.com/order/dealbuilder?dealId=17147to order $9.99 each for up to 5 toppings pizzas:3 cheese3 pepperoni1 canadian bacon + pepperoni + sausage1 pineapple + canadian bacon MAKE ORDER SAT MORNING",Pizza
Before kickoff,0,6 Hot Fresh Donuts,Federal Donuts
Throughout,$21.87,(x12) 2L Coke (3x 4-pack),Walmart
All Times,~ $8,Trash bags,Walmart
Breakfast,$21.87,3 No Pulp Tropicana OJ jugs,Walmart
Before kickoff,Under $170,"Subway subs(ordered footlongs, will be cut in halves)18 Assorted Meats (Italian, Ham, BLT, etc?)8 VeggieASSORTED GIANT SUBSONLINE",Subway533 Spring Garden #4 DELIVERY @ 2pm
Afternoon,~ $10,Chips (limited quantities),Walmart
All Times,$10,Assorted Utensils,Walmart
Throughout,$29.16,112 Water bottles (4x 28 Pack),Target (2L)
Sun Morning,~ $16,4x “Box o Joe” from Dunkin DonutsPick up after Federal Donuts pickup,Dunkin Donuts
Sun Morning,~ $44,"4 Dozen assorted hot, fresh donuts MAKE ORDER SUN MORNING","Federal Donuts Pickup, Center City location READY @ 7:30am"
Throughout,$11.85,7 Bags of bananas,Walmart
All Times,~ $5,Ice?,Walmart
All Times,$9.69,"600 Berkley, Jensen 2 Ply Lunch Napkins",Walmart
